"s","l","n"
"http://dbpedia.org/resource/Seven_&_I_Holdings_Co.","http://dbpedia.org/resource/Japan",55011
"http://dbpedia.org/resource/Recreation_and_Amusement_Association","http://dbpedia.org/resource/Japan",55000
"http://dbpedia.org/resource/TSA_Jeddah","http://dbpedia.org/resource/Saudi_Arabia",54798
"http://dbpedia.org/resource/Standard_Bank","http://dbpedia.org/resource/South_Africa",54767
"http://dbpedia.org/resource/Perusahaan_Listrik_Negara","http://dbpedia.org/resource/Indonesia",54129
"http://dbpedia.org/resource/Dow_Chemical_Company","http://dbpedia.org/resource/United_States",54000
"http://dbpedia.org/resource/The_Interpublic_Group_of_Companies","http://dbpedia.org/resource/United_States_of_America",54000
"http://dbpedia.org/resource/Lenovo","http://dbpedia.org/resource/China",54000
"http://dbpedia.org/resource/Lenovo","http://dbpedia.org/resource/Hong_Kong",54000
"http://dbpedia.org/resource/Iran_Khodro","http://dbpedia.org/resource/Iran",54000
"http://dbpedia.org/resource/Căile_Ferate_Române","http://dbpedia.org/resource/Romania",54000
"http://dbpedia.org/resource/ING_Group","http://dbpedia.org/resource/Netherlands",54000
"http://dbpedia.org/resource/TUI_Travel","http://dbpedia.org/resource/England",54000
"http://dbpedia.org/resource/Hochtief","http://dbpedia.org/resource/Germany",53890
"http://dbpedia.org/resource/Sonae","http://dbpedia.org/resource/Portugal",53794
"http://dbpedia.org/resource/Zurich_Insurance_Group","http://dbpedia.org/resource/Switzerland",53535
"http://dbpedia.org/resource/Toyota_Tsusho","http://dbpedia.org/resource/Japan",53241
"http://dbpedia.org/resource/Rite_Aid","http://dbpedia.org/resource/United_States",53100
"http://dbpedia.org/resource/Ascena_Retail_Group","http://dbpedia.org/resource/United_States",53000
"http://dbpedia.org/resource/Henkel","http://dbpedia.org/resource/Germany",53000
"http://dbpedia.org/resource/Shanghai_Pudong_Development_Bank","http://dbpedia.org/resource/China",52832
"http://dbpedia.org/resource/Telmex","http://dbpedia.org/resource/Mexico",52346
"http://dbpedia.org/resource/Volvo_Trucks","http://dbpedia.org/resource/Sweden",52154
"http://dbpedia.org/resource/Furukawa_Electric","http://dbpedia.org/resource/Japan",51925
"http://dbpedia.org/resource/Telecom_Italia","http://dbpedia.org/resource/Italy",51917
"http://dbpedia.org/resource/Telecom_Italia","http://dbpedia.org/resource/Rome",51917
"http://dbpedia.org/resource/Unibanco","http://dbpedia.org/resource/Brazil",51300
"http://dbpedia.org/resource/Petronas","http://dbpedia.org/resource/Malaysia",51000
"http://dbpedia.org/resource/COFRA_Group","http://dbpedia.org/resource/Switzerland",51000
"http://dbpedia.org/resource/Commercial_Bank_of_Ceylon","http://dbpedia.org/resource/Sri_Lanka",50620
"http://dbpedia.org/resource/Santander_Brasil","http://dbpedia.org/resource/Brazil",50578
"http://dbpedia.org/resource/DP_World","http://dbpedia.org/resource/United_Arab_Emirates",50000
"http://dbpedia.org/resource/Serco","http://dbpedia.org/resource/United_Kingdom",50000
"http://dbpedia.org/resource/VF_Corporation","http://dbpedia.org/resource/United_States",50000
"http://dbpedia.org/resource/Ha-meem_Group","http://dbpedia.org/resource/Bangladesh",50000
"http://dbpedia.org/resource/A_K_Khan_&_Company","http://dbpedia.org/resource/Bangladesh",50000
"http://dbpedia.org/resource/C&A","http://dbpedia.org/resource/Germany",50000
"http://dbpedia.org/resource/C&A","http://dbpedia.org/resource/Belgium",50000
"http://dbpedia.org/resource/Severstal","http://dbpedia.org/resource/Russia",50000
"http://dbpedia.org/resource/Serco","http://dbpedia.org/resource/Hampshire",50000
"http://dbpedia.org/resource/Behran_Oil_Company","http://dbpedia.org/resource/Iran",50000
"http://dbpedia.org/resource/Viettel","http://dbpedia.org/resource/Vietnam",50000
"http://dbpedia.org/resource/Serco","http://dbpedia.org/resource/England",50000
"http://dbpedia.org/resource/Petronas","http://dbpedia.org/resource/Malaysia",49911
"http://dbpedia.org/resource/Bank_of_India","http://dbpedia.org/resource/India",49767
"http://dbpedia.org/resource/Pakistan_Post","http://dbpedia.org/resource/Pakistan",49502
"http://dbpedia.org/resource/Washington_Mutual","http://dbpedia.org/resource/United_States",49403
"http://dbpedia.org/resource/Mitie","http://dbpedia.org/resource/United_Kingdom",48900
"http://dbpedia.org/resource/Toppan","http://dbpedia.org/resource/Japan",48878
"http://dbpedia.org/resource/Pasadena_Refining_System","http://dbpedia.org/resource/United_States",48600
"http://dbpedia.org/resource/Ilva_(company)","http://dbpedia.org/resource/Italy",48500
"http://dbpedia.org/resource/China_National_Salt_Industry_Corporation","http://dbpedia.org/resource/China",48476
"http://dbpedia.org/resource/BNY_Mellon","http://dbpedia.org/resource/United_States",48400
"http://dbpedia.org/resource/Voestalpine","http://dbpedia.org/resource/Austria",48367
"http://dbpedia.org/resource/Petronas","http://dbpedia.org/resource/Malaysia",48001
"http://dbpedia.org/resource/Eurofins_Scientific","http://dbpedia.org/resource/Luxembourg",48000
"http://dbpedia.org/resource/Majid_Al_Futtaim_Group","http://dbpedia.org/resource/United_Arab_Emirates",48000
"http://dbpedia.org/resource/Burlington_Northern_Santa_Fe,_LLC","http://dbpedia.org/resource/United_States",48000
"http://dbpedia.org/resource/MetLife","http://dbpedia.org/resource/United_States",48000
"http://dbpedia.org/resource/SAIPA","http://dbpedia.org/resource/Iran",48000
"http://dbpedia.org/resource/Credit_Suisse","http://dbpedia.org/resource/Switzerland",47860
"http://dbpedia.org/resource/Odebrecht","http://dbpedia.org/resource/Brazil",47800
"http://dbpedia.org/resource/Select_Medical","http://dbpedia.org/resource/United_States",47596
"http://dbpedia.org/resource/Edward_Jones_Investments","http://dbpedia.org/resource/United_States",47000
"http://dbpedia.org/resource/Aga_Khan_Fund_for_Economic_Development","http://dbpedia.org/resource/Switzerland",47000
"http://dbpedia.org/resource/Guthrie_(company)","http://dbpedia.org/resource/Malaysia",46759
"http://dbpedia.org/resource/Eskom","http://dbpedia.org/resource/South_Africa",46665
"http://dbpedia.org/resource/Ambev","http://dbpedia.org/resource/Brazil",46500
"http://dbpedia.org/resource/Leonardo_S.p.A.","http://dbpedia.org/resource/Rome",46462
"http://dbpedia.org/resource/Mazda","http://dbpedia.org/resource/Japan",46398
"http://dbpedia.org/resource/Usiminas","http://dbpedia.org/resource/Brazil",46069
